"All","Visi",module,Magento/AdminGws
"None","Neviens",module,Magento/AdminGws
"Allowed Scopes","Atļautie parametri",module,Magento/AdminGws
"You need more permissions to delete this item(s): %1.","Jums nav nepieciešamās atļaujas dzēst šo produktu(s): %1.",module,Magento/AdminGws
"You need more permissions to apply some of the rule updates.","Jums nepieciešamas papildus tiesības, lai apstiprinātu noteikumu izmaiņas.",module,Magento/AdminGws
"Please assign this entity to a store view.","Iestatīt šo produktu veikala skatam.",module,Magento/AdminGws
"You can create orders only in an active store.","Jūs varat izveidot pasūtījumus tikai aktīvā veikalā.",module,Magento/AdminGws
"Please assign this item to a store view.","Iestatīt šo produktu veikala skatam.",module,Magento/AdminGws
"You need more permissions to save this item.","Jums nav nepieciešamās atļaujas saglabāt šo produktu.",module,Magento/AdminGws
"You need more permissions to delete this item.","Jums nav nepieciešamās atļaujas dzēst šo produktu.",module,Magento/AdminGws
"You need more permissions to view this item.","Jums nav nepieciešamās atļaujas apskatīt šo produktu.",module,Magento/AdminGws
"Please specify at least one website or one store group.","Norādiet vismaz vinu lapu vai veikalu grupu.",module,Magento/AdminGws
"You need more permissions to set All Scopes to a Role.","Jums nav nepieciešamās atļaujas iestatīt Visus Parametrus Funkcijai.",module,Magento/AdminGws
"Incorrect website ID: %1","Nepareizs lapas ID: %1",module,Magento/AdminGws
"You need more permissions to access website ""%1"".","Jums nepieciešama atļauja lai piekļūtu lapai ""%1"".",module,Magento/AdminGws
"Incorrect store ID: %1","Nepareizs veikala ID: %1",module,Magento/AdminGws
"You need more permissions to save this setting.","Jums nepieciešama atļauja lai saglabātu šos iestatījumus.",module,Magento/AdminGws
"Role Scopes","Funkciju Parametri",module,Magento/AdminGws
"Custom","Pielāgots",module,Magento/AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Jums nav atļaujas saglabāt šo produktu šajā veikala skatā. Pārslēdzieties uz atļautu veikala skatu",module,Magento/AdminGws
"More permissions are needed to delete the ""%1"" item.","Lai nodzēstu produktu ""%1"" nepieciešamas lielākas atļaujas.",module,Magento/AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Uzņēmumu ir jāpievieno veikala skatam. Pārbaudiet vai uzņēmums ir pievienots un mēģiniet vēlreiz.",module,Magento/AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Pasutījumus var veikt tikai aktīvā veikalā. Pārbaudiet un mēģiniet vēlreiz.",module,Magento/AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","Šo produktu ir jāpievieno veikala skatam. Pievienojiet un mēģiniet vēlreiz.",module,Magento/AdminGws
"More permissions are needed to save this item.","Nepieciešamas lielākas atļaujas lai saglabātu šo produktu.",module,Magento/AdminGws
"More permissions are needed to delete this item.","Nepieciešamas lielākas atļaujas lai nodzēstu šo produktu.",module,Magento/AdminGws
"More permissions are needed to view this item.","Nepieciešamas lielākas atļaujas lai apskatītu šo produktu.",module,Magento/AdminGws
"At least one website or store group needs to be selected. Select and try again.","Jāizvēlas vismaz viena mājas lapa vai veikalu grupa. Izvēlieties un mēģiniet vēlreiz.",module,Magento/AdminGws
"More permissions are needed to set All Scopes to a Role.","Nepieciešamas lielākas piekļuves tiesības lai iestatītu Darbības jomu.",module,Magento/AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Lapai ""%1"" ir nepareizs ID. Pārbaudiet lapas ID un mēģiniet vēlreiz.",module,Magento/AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Veikalam ""%1"" ir nepareizs ID. Pārbaudiet lapas ID un mēģiniet vēlreiz.",module,Magento/AdminGws
"More permissions are needed to save this setting.","Nepieciešamas lielākas piekļuves tiesības lai saglabātu šo iestatījumu.",module,Magento/AdminGws
"Read Details","Vairāk informācijas",module,Magento/AdminNotification
"Mark as Read","Atzīmēt kā izlasītu",module,Magento/AdminNotification
"Are you sure?","Vai esat pārliecināts?",module,Magento/AdminNotification
"Remove","Dzēst",module,Magento/AdminNotification
"Messages Inbox","Ziņu iesūtne",module,Magento/AdminNotification
"You have %1 new system messages","Jums ir %1 jaunas sistēmas ziņas",module,Magento/AdminNotification
"You have %1 new system message","Jums ir %1 jauna sistēmas ziņa",module,Magento/AdminNotification
"Incoming Message","Ienākošā ziņa",module,Magento/AdminNotification
"close","aizvērt",module,Magento/AdminNotification
"Notifications","Paziņojumi",module,Magento/AdminNotification
"The message has been marked as Read.","Ziņa atzīmēta kā izlasīta.",module,Magento/AdminNotification
"We couldn't mark the notification as Read because of an error.","Kļūdas dēļ nevarēja atzīmēt ziņu kā izlasītu.",module,Magento/AdminNotification
"Please select messages.","Izvēlieties ziņas.",module,Magento/AdminNotification
"A total of %1 record(s) have been marked as Read.","Kopā %1 ziņa(s) atzīmētas kā izlasītas.",module,Magento/AdminNotification
"Total of %1 record(s) have been removed.","Pavisam nodzēstas %1 ziņa(s).",module,Magento/AdminNotification
"We couldn't remove the messages because of an error.","Nevar nodzēst ziņu kļūdas dēļ.",module,Magento/AdminNotification
"The message has been removed.","Ziņa ir nodzēsta.",module,Magento/AdminNotification
"1 Hour","1 stunda",module,Magento/AdminNotification
"2 Hours","2 stundas",module,Magento/AdminNotification
"6 Hours","6 stundas",module,Magento/AdminNotification
"12 Hours","12 stundas",module,Magento/AdminNotification
"24 Hours","24 stundas",module,Magento/AdminNotification
"critical","kritisks",module,Magento/AdminNotification
"major","svarīgs",module,Magento/AdminNotification
"minor","mazsvarīgs",module,Magento/AdminNotification
"notice","paziņojums",module,Magento/AdminNotification
"Wrong message type","Nepareizs ziņas veids",module,Magento/AdminNotification
"Wrong notification ID specified.","Norādīts nepareizs paziņojuma ID.",module,Magento/AdminNotification
